,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hogares posterior
939,2014,2,Chaco,20.95799636749445,21.112666705262427
915,2014,3,Chaco,21.112666705262427,21.87078320023224
891,2014,4,Chaco,21.87078320023224,26.649591220305552
867,2015,1,Chaco,26.649591220305552,27.46453938839946
843,2015,2,Chaco,27.46453938839946,27.963072793479412
819,2015,3,Chaco,27.963072793479412,28.35056623514143
795,2015,4,Chaco,28.35056623514143,28.07514644775236
771,2016,1,Chaco,28.07514644775236,28.5935505552226
747,2016,2,Chaco,28.5935505552226,28.910749068480953
723,2016,3,Chaco,28.910749068480953,28.786656085255263
699,2016,4,Chaco,28.786656085255263,28.62166053842791
675,2017,1,Chaco,28.62166053842791,29.045524775453423
651,2017,2,Chaco,29.045524775453423,29.975925647657625
627,2017,3,Chaco,29.975925647657625,30.808158111236537
603,2017,4,Chaco,30.808158111236537,30.829927645702472
579,2018,1,Chaco,30.829927645702472,31.251704996034892
555,2018,2,Chaco,31.251704996034892,32.283100833077576
531,2018,3,Chaco,32.283100833077576,32.59096087632982
507,2018,4,Chaco,32.59096087632982,32.635876579429485
483,2019,1,Chaco,32.635876579429485,34.14026097986763
459,2019,2,Chaco,34.14026097986763,35.8460309754608
435,2019,3,Chaco,35.8460309754608,36.835478630342415
411,2019,4,Chaco,36.835478630342415,37.483833369172615
387,2020,1,Chaco,37.483833369172615,39.83250279006581
363,2020,2,Chaco,39.83250279006581,41.54192057806515
339,2020,3,Chaco,41.54192057806515,43.030788649779105
315,2020,4,Chaco,43.030788649779105,43.13649241708794
291,2021,1,Chaco,43.13649241708794,43.32762729293539
267,2021,2,Chaco,43.32762729293539,42.96241007967663
243,2021,3,Chaco,42.96241007967663,44.04856389025934
219,2021,4,Chaco,44.04856389025934,44.05948009941883
195,2022,1,Chaco,44.05948009941883,43.79
171,2022,2,Chaco,43.79,43.86
147,2022,3,Chaco,43.86,43.62
123,2022,4,Chaco,43.62,43.15
99,2023,1,Chaco,43.15,42.87
75,2023,2,Chaco,42.87,42.87
51,2023,3,Chaco,42.87,44.35
27,2023,4,Chaco,44.35,46.7
3,2024,1,Chaco,46.7,41.23521807972435
964,2014,1,Chubut,41.23521807972435,41.41020981991258
940,2014,2,Chubut,41.41020981991258,40.59867094427454
916,2014,3,Chubut,40.59867094427454,40.24927468450274
892,2014,4,Chubut,40.24927468450274,37.612780685907914
868,2015,1,Chubut,37.612780685907914,36.58246720458481
844,2015,2,Chubut,36.58246720458481,36.81180991463324
820,2015,3,Chubut,36.81180991463324,36.89017827786587
796,2015,4,Chubut,36.89017827786587,36.0927055378499
772,2016,1,Chubut,36.0927055378499,36.12438565556337
748,2016,2,Chubut,36.12438565556337,36.17869442878647
724,2016,3,Chubut,36.17869442878647,36.07290546427898
700,2016,4,Chubut,36.07290546427898,35.662220237763016
676,2017,1,Chubut,35.662220237763016,35.54601117914412
652,2017,2,Chubut,35.54601117914412,46.21537746651841
628,2017,3,Chubut,46.21537746651841,51.46309626749354
604,2017,4,Chubut,51.46309626749354,53.71560488248906
580,2018,1,Chubut,53.71560488248906,54.90230333735512
556,2018,2,Chubut,54.90230333735512,56.391745852269025
532,2018,3,Chubut,56.391745852269025,42.61093609604538
508,2018,4,Chubut,42.61093609604538,42.99773633717796
484,2019,1,Chubut,42.99773633717796,46.98798413626923
460,2019,2,Chubut,46.98798413626923,47.56624162293312
436,2019,3,Chubut,47.56624162293312,51.145017855147124
412,2019,4,Chubut,51.145017855147124,51.26848941909703
388,2020,1,Chubut,51.26848941909703,57.344613387235526
364,2020,2,Chubut,57.344613387235526,68.34389815720037
340,2020,3,Chubut,68.34389815720037,68.35189915825622
316,2020,4,Chubut,68.35189915825622,68.9942808881567
292,2021,1,Chubut,68.9942808881567,72.29410481936469
268,2021,2,Chubut,72.29410481936469,80.70973847657562
244,2021,3,Chubut,80.70973847657562,82.57340063871433
220,2021,4,Chubut,82.57340063871433,88.05274093835774
196,2022,1,Chubut,88.05274093835774,83.19
172,2022,2,Chubut,83.19,84.38
148,2022,3,Chubut,84.38,85.57
124,2022,4,Chubut,85.57,85.89
100,2023,1,Chubut,85.89,82.49
76,2023,2,Chubut,82.49,84.23
52,2023,3,Chubut,84.23,84.96
28,2023,4,Chubut,84.96,84.89
4,2024,1,Chubut,84.89,22.316716713838876
966,2014,1,Corrientes,22.316716713838876,22.575613003243586
942,2014,2,Corrientes,22.575613003243586,22.78753503515243
918,2014,3,Corrientes,22.78753503515243,23.56243099277512
894,2014,4,Corrientes,23.56243099277512,28.95019128190928
870,2015,1,Corrientes,28.95019128190928,29.584012668108493
846,2015,2,Corrientes,29.584012668108493,30.16741240901903
822,2015,3,Corrientes,30.16741240901903,30.33643144533882
798,2015,4,Corrientes,30.33643144533882,30.080785004133055
774,2016,1,Corrientes,30.080785004133055,30.580162046616557
750,2016,2,Corrientes,30.580162046616557,31.066878826051184
726,2016,3,Corrientes,31.066878826051184,30.98107037649768
702,2016,4,Corrientes,30.98107037649768,30.940600109644144
678,2017,1,Corrientes,30.940600109644144,31.38612136835505
654,2017,2,Corrientes,31.38612136835505,32.16543574593796
630,2017,3,Corrientes,32.16543574593796,32.51511831118755
606,2017,4,Corrientes,32.51511831118755,32.66346087317512
582,2018,1,Corrientes,32.66346087317512,33.80975390881165
558,2018,2,Corrientes,33.80975390881165,34.24993887383215
534,2018,3,Corrientes,34.24993887383215,34.56627656869549
510,2018,4,Corrientes,34.56627656869549,35.13498688698812
486,2019,1,Corrientes,35.13498688698812,38.15558588418795
462,2019,2,Corrientes,38.15558588418795,38.48535113586719
438,2019,3,Corrientes,38.48535113586719,38.767440989262106
414,2019,4,Corrientes,38.767440989262106,38.729079942230904
390,2020,1,Corrientes,38.729079942230904,40.30476267979574
366,2020,2,Corrientes,40.30476267979574,41.750749470464434
342,2020,3,Corrientes,41.750749470464434,42.42828394694903
318,2020,4,Corrientes,42.42828394694903,42.664128438821415
294,2021,1,Corrientes,42.664128438821415,43.5411637336848
270,2021,2,Corrientes,43.5411637336848,44.90088312664412
246,2021,3,Corrientes,44.90088312664412,45.51016102946347
222,2021,4,Corrientes,45.51016102946347,47.644635141502334
198,2022,1,Corrientes,47.644635141502334,48.35
174,2022,2,Corrientes,48.35,48.21
150,2022,3,Corrientes,48.21,51.64
126,2022,4,Corrientes,51.64,52.05
102,2023,1,Corrientes,52.05,52.37
78,2023,2,Corrientes,52.37,52.78
54,2023,3,Corrientes,52.78,52.56
30,2023,4,Corrientes,52.56,51.94
6,2024,1,Corrientes,51.94,52.517847544006315
965,2014,1,Córdoba,52.517847544006315,53.448126115625996
941,2014,2,Córdoba,53.448126115625996,54.23361028299935
917,2014,3,Córdoba,54.23361028299935,54.69689679332299
893,2014,4,Córdoba,54.69689679332299,54.69734650188214
869,2015,1,Córdoba,54.69734650188214,55.86916350781819
845,2015,2,Córdoba,55.86916350781819,57.08340378951846
821,2015,3,Córdoba,57.08340378951846,57.364881766079215
797,2015,4,Córdoba,57.364881766079215,55.283092783740216
773,2016,1,Córdoba,55.283092783740216,57.54798052828644
749,2016,2,Córdoba,57.54798052828644,58.24381625803197
725,2016,3,Córdoba,58.24381625803197,57.696719154378975
701,2016,4,Córdoba,57.696719154378975,57.65332959287443
677,2017,1,Córdoba,57.65332959287443,58.973528908003566
653,2017,2,Córdoba,58.973528908003566,62.30700225296333
629,2017,3,Córdoba,62.30700225296333,63.33262565207773
605,2017,4,Córdoba,63.33262565207773,63.51716965201617
581,2018,1,Córdoba,63.51716965201617,63.2743661231958
557,2018,2,Córdoba,63.2743661231958,64.24210026029336
533,2018,3,Córdoba,64.24210026029336,65.08926459112368
509,2018,4,Córdoba,65.08926459112368,65.5173840768055
485,2019,1,Córdoba,65.5173840768055,68.07130938789848
461,2019,2,Córdoba,68.07130938789848,68.59234901069021
437,2019,3,Córdoba,68.59234901069021,70.48295566244217
413,2019,4,Córdoba,70.48295566244217,70.6880744339108
389,2020,1,Córdoba,70.6880744339108,72.71358531242393
365,2020,2,Córdoba,72.71358531242393,75.22035723669207
341,2020,3,Córdoba,75.22035723669207,78.07960876338194
317,2020,4,Córdoba,78.07960876338194,78.59028062380018
293,2021,1,Córdoba,78.59028062380018,80.11518795931242
269,2021,2,Córdoba,80.11518795931242,81.2845665540848
245,2021,3,Córdoba,81.2845665540848,84.50941853046088
221,2021,4,Córdoba,84.50941853046088,85.75745356313551
197,2022,1,Córdoba,85.75745356313551,87.48
173,2022,2,Córdoba,87.48,88.31
149,2022,3,Córdoba,88.31,89.03
125,2022,4,Córdoba,89.03,88.84
101,2023,1,Córdoba,88.84,90.13
77,2023,2,Córdoba,90.13,90.05
53,2023,3,Córdoba,90.05,90.67
29,2023,4,Córdoba,90.67,90.7
5,2024,1,Córdoba,90.7,34.367121821250166
967,2014,1,Entre Ríos,34.367121821250166,34.687432371459764
943,2014,2,Entre Ríos,34.687432371459764,34.981647333712985
919,2014,3,Entre Ríos,34.981647333712985,36.0254708519679
895,2014,4,Entre Ríos,36.0254708519679,42.06519337351208
871,2015,1,Entre Ríos,42.06519337351208,42.93197901645878
847,2015,2,Entre Ríos,42.93197901645878,43.67718163526334
823,2015,3,Entre Ríos,43.67718163526334,44.10854807300098
799,2015,4,Entre Ríos,44.10854807300098,43.84596814466226
775,2016,1,Entre Ríos,43.84596814466226,44.73887454518738
751,2016,2,Entre Ríos,44.73887454518738,45.43514088447326
727,2016,3,Entre Ríos,45.43514088447326,45.208402854677
703,2016,4,Entre Ríos,45.208402854677,44.907273687041226
679,2017,1,Entre Ríos,44.907273687041226,45.38933102824724
655,2017,2,Entre Ríos,45.38933102824724,45.95812167017718
631,2017,3,Entre Ríos,45.95812167017718,47.885245293746834
607,2017,4,Entre Ríos,47.885245293746834,48.68120241785722
583,2018,1,Entre Ríos,48.68120241785722,49.20261187052838
559,2018,2,Entre Ríos,49.20261187052838,50.222013858377494
535,2018,3,Entre Ríos,50.222013858377494,54.37477348639939
511,2018,4,Entre Ríos,54.37477348639939,56.78815996169284
487,2019,1,Entre Ríos,56.78815996169284,57.47823458872391
463,2019,2,Entre Ríos,57.47823458872391,57.90009945796624
439,2019,3,Entre Ríos,57.90009945796624,57.99221691704514
415,2019,4,Entre Ríos,57.99221691704514,56.12006051437216
391,2020,1,Entre Ríos,56.12006051437216,56.538654739709614
367,2020,2,Entre Ríos,56.538654739709614,58.1901640924315
343,2020,3,Entre Ríos,58.1901640924315,59.47430676097378
319,2020,4,Entre Ríos,59.47430676097378,60.439449728342346
295,2021,1,Entre Ríos,60.439449728342346,61.660264464787886
271,2021,2,Entre Ríos,61.660264464787886,62.17940145385769
247,2021,3,Entre Ríos,62.17940145385769,63.155361436165784
223,2021,4,Entre Ríos,63.155361436165784,63.70090347123158
199,2022,1,Entre Ríos,63.70090347123158,63.9
175,2022,2,Entre Ríos,63.9,63.67
151,2022,3,Entre Ríos,63.67,64.01
127,2022,4,Entre Ríos,64.01,64.79
103,2023,1,Entre Ríos,64.79,64.43
79,2023,2,Entre Ríos,64.43,68.84
55,2023,3,Entre Ríos,68.84,69.94
31,2023,4,Entre Ríos,69.94,69.31
7,2024,1,Entre Ríos,69.31,17.418451079368708
968,2014,1,Formosa,17.418451079368708,17.54041175485166
944,2014,2,Formosa,17.54041175485166,17.771314831468263
920,2014,3,Formosa,17.771314831468263,17.956311361695214
896,2014,4,Formosa,17.956311361695214,18.12270367397183
872,2015,1,Formosa,18.12270367397183,18.36026720527858
848,2015,2,Formosa,18.36026720527858,18.836751773785252
824,2015,3,Formosa,18.836751773785252,19.06549151678632
800,2015,4,Formosa,19.06549151678632,19.041878369434937
776,2016,1,Formosa,19.041878369434937,19.370070664563997
